mnemonic,instructor_name,instructor_id,term
ds_tech_bootcamp,Pete Alonzi,1,spring2021
stat6021,Jeffrey Woo,2,spring2021
ds5100,Judy Fox,3,spring2021
cs5012,Panagiotis Apostolellis,18,spring2021
ds6030,Mike Porter,19,spring2021
ds5110,Adam Tashman,7,spring2021
ds5001,Sree Mallikarjun,8,spring2021
ds6001,Jon Kropko,16,spring2021
ds6011,Jon Kropko,16,spring2021
ds6040,Bill Basener,5,spring2021
ds6002,Luis Felipe Rosado Murillo,20,spring2021
ds6050,Rich Nguyen,15,spring2021
ds6013,Raf Alvarado,14,spring2021
ds6003,Jason Williamson,21,spring2021
ds6012,Luis Felipe Rosado Murillo,20,spring2021
sarc5400,Eric Field,22,spring2021
ds_tech_bootcamp,Pete Alonzi,1,summer2021
stat6021,Jeffrey Woo,2,summer2021
ds5100,Nada Basit,17,summer2021
cs5012,Jeremy Bolton,4,summer2021
ds6030,Peter Gedeck,23,summer2021
ds5110,Adam Tashman,7,summer2021
ds5001,Sree Mallikarjun,8,summer2021
ds6001,Raf Alvarado,14,summer2021
ds6011,Raf Alvarado & Teague Henry,30,summer2021
ds6040,Teague Henry,24,summer2021
ds6002,Renee Cummings,12,summer2021
ds6050,Rich Nguyen,15,summer2021
ds6013,Jon Kropko,16,summer2021
ds6012,Renee Cummings,12,summer2021
ds6003,Jason Williamson,21,summer2021
ds_tech_bootcamp,Pete Alonzi,1,fall2021
stat6021,Jeffrey Woo,2,fall2021
ds5100,Judy Fox,3,fall2021
cs5012,Jeremy Bolton,4,fall2021
ds6030,Bill Basener,5,fall2021
ds_biz_analytics,Marc Ruggiano,6,fall2021
ds5110,Adam Tashman,7,fall2021
ds5001,Sree Mallikarjun,8,fall2021
ds6001,Eric Tassone,9,fall2021
ds6011,"Jeremy Bolton, Peter Gedeck, Eric Tassone, Abbas Kazemipour, Cait Dreisbach, Lei Xie",29,fall2021
ds6040,Bill Basener,5,fall2021
ds6002,Renee Cummings,12,fall2021
ds6050,Stephen Baek,13,fall2021
ds6013,Raf Alvarado & Teague Henry,30,fall2021
